overlay,family,threshold,recovery_change,exit_key,max_hold,greed_threshold,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,robust_score
qvix_ge_80,qvix,80.0,,hold_60_greed_off,60,,21,19,2,5,0.2631578947368421,-0.005411686227286804,-0.004385964912280715,-10.282203831844928,-51.11173206658417,-61.39393589842909,2,0.2222222222222222,0.3888888888888889,-inf
qvix_ge_80,qvix,80.0,,hold_60_greed_80,60,80.0,21,19,2,5,0.2631578947368421,-0.005411686227286804,-0.004385964912280715,-10.282203831844928,-51.11173206658417,-61.39393589842909,2,0.2222222222222222,0.3888888888888889,-inf
core_ge_75,core,75.0,,hold_60_greed_off,60,,6,4,2,1,0.25,-0.027618351845345668,-0.04663326869209228,-11.047340738138267,-54.212229733611665,-65.25957047174992,1,0.25,0.0,-inf
core_ge_75,core,75.0,,hold_60_greed_80,60,80.0,6,4,2,1,0.25,-0.027618351845345668,-0.04663326869209228,-11.047340738138267,-54.212229733611665,-65.25957047174992,1,0.25,0.0,-inf
core_ge_75,core,75.0,,hold_60_greed_60,60,60.0,6,4,2,1,0.25,-0.03821141787134941,-0.028021446124059823,-15.284567148539763,-54.212229733611665,-69.49679688215143,1,0.25,0.0,-inf
core_ge_75,core,75.0,,hold_90_greed_60,90,60.0,6,4,2,1,0.25,-0.03821141787134941,-0.028021446124059823,-15.284567148539763,-54.212229733611665,-69.49679688215143,1,0.25,0.0,-inf
core_ge_75,core,75.0,,hold_120_greed_60,120,60.0,6,4,2,1,0.25,-0.03821141787134941,-0.028021446124059823,-15.284567148539763,-54.212229733611665,-69.49679688215143,1,0.25,0.0,-inf
core_ge_75,core,75.0,,hold_120_greed_off,120,,6,4,2,1,0.25,-0.06367380492461952,-0.13266268045679808,-25.469521969847808,-54.212229733611665,-79.68175170345947,1,0.25,0.0,-inf
core_ge_75,core,75.0,,hold_120_greed_80,120,80.0,6,4,2,1,0.25,-0.06367380492461952,-0.13266268045679808,-25.469521969847808,-54.212229733611665,-79.68175170345947,1,0.25,0.0,-inf
core_ge_75,core,75.0,,hold_20_greed_off,20,,6,6,0,1,0.16666666666666666,-0.053579397295117924,-0.048996090315711116,-32.147638377070756,0.0,-32.147638377070756,2,0.0,0.125,-inf
core_ge_75,core,75.0,,hold_20_greed_70,20,70.0,6,6,0,1,0.16666666666666666,-0.053579397295117924,-0.048996090315711116,-32.147638377070756,0.0,-32.147638377070756,2,0.0,0.125,-inf
core_ge_75,core,75.0,,hold_20_greed_80,20,80.0,6,6,0,1,0.16666666666666666,-0.053579397295117924,-0.048996090315711116,-32.147638377070756,0.0,-32.147638377070756,2,0.0,0.125,-inf
core_ge_75,core,75.0,,hold_40_greed_60,40,60.0,6,6,0,1,0.16666666666666666,-0.12121723053566952,-0.07349655924623177,-72.73033832140172,0.0,-72.73033832140172,2,0.0,0.125,-inf
qvix_ge_80,qvix,80.0,,hold_90_greed_80,90,80.0,21,19,2,1,0.05263157894736842,-0.01943106733416007,-0.021260997067448772,-36.919027934904136,-51.11173206658417,-88.0307600014883,2,0.0,0.5,-inf
qvix_ge_80,qvix,80.0,,hold_120_greed_80,120,80.0,21,19,2,1,0.05263157894736842,-0.020198491880291443,-0.021260997067448772,-38.37713457255374,-51.11173206658417,-89.48886663913791,2,0.0,0.5,-inf
qvix_ge_80,qvix,80.0,,hold_90_greed_off,90,,21,19,2,1,0.05263157894736842,-0.04313534540883111,-0.050395968322534235,-81.95715627677912,-51.11173206658417,-133.06888834336328,2,0.0,0.5,-inf
qvix_ge_80,qvix,80.0,,hold_120_greed_off,120,,21,19,2,1,0.05263157894736842,-0.06177388909357697,-0.0637829912023462,-117.37038927779624,-51.11173206658417,-168.4821213443804,2,0.0,0.5,-inf
recovery_peak_80_change_le_m2p5,recovery,80.0,-2.5,hold_20_greed_off,20,,2,2,0,0,0.0,-0.014656795043506476,-0.014656795043506476,-2.9313590087012953,0.0,-2.9313590087012953,1,0.0,0.0,-inf
recovery_peak_80_change_le_0p0,recovery,80.0,0.0,hold_20_greed_off,20,,2,2,0,0,0.0,-0.014656795043506476,-0.014656795043506476,-2.9313590087012953,0.0,-2.9313590087012953,1,0.0,0.0,-inf
