period,qvix_weight,entry_threshold,max_hold,greed_threshold,max_positions,ranking,initial_capital,final_value,net_profit,total_return,cagr,accepted_trades,closed_trades,win_rate,avg_net_return,open_positions,cash,open_mark_value,as_of,fee_rule
validation_plus_shadow,0.3,45,60,65.0,1,fear,10000.0,10079.400000000001,79.40000000000146,0.007940000000000058,0.005089590516227149,4,3,1.0,0.04668916727775435,1,38.0,10041.400000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,45,60,70.0,1,fear,10000.0,11244.200000000003,1244.2000000000025,0.1244200000000002,0.021323624792138896,10,9,0.6666666666666666,0.032596186458871114,1,98.80000000000109,11145.400000000001,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,45,60,70.0,1,fear,10000.0,10262.5,262.5,0.026250000000000107,0.016772018421809864,4,3,1.0,0.053241386170558465,1,0.2999999999992724,10262.2,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,45,60,75.0,1,fear,10000.0,10646.300000000001,646.3000000000011,0.06463000000000019,0.011332016456383043,10,9,0.5555555555555556,0.026759486442360737,1,52.899999999999636,10593.400000000001,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,45,60,75.0,1,fear,10000.0,10815.4,815.3999999999996,0.08153999999999995,0.051604579095863246,4,3,1.0,0.07284909433855259,1,1.1999999999989086,10814.2,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,45,90,65.0,1,fear,10000.0,10165.199999999997,165.1999999999971,0.016519999999999646,0.002952444452756886,11,10,0.6,0.018692489157974196,1,123.79999999999563,10041.400000000001,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,45,90,65.0,1,fear,10000.0,10079.400000000001,79.40000000000146,0.007940000000000058,0.005089590516227149,4,3,1.0,0.04668916727775435,1,38.0,10041.400000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,45,90,70.0,1,fear,10000.0,13820.899999999998,3820.899999999998,0.3820899999999998,0.059951890979196065,9,9,0.5555555555555556,0.04211453629164127,0,13820.899999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,45,90,70.0,1,fear,10000.0,12907.699999999999,2907.699999999999,0.29077,0.17802801595964945,3,3,1.0,0.09173491666963425,0,12907.699999999999,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,45,90,75.0,1,fear,10000.0,12791.3,2791.2999999999993,0.2791299999999999,0.04528987367642201,9,9,0.3333333333333333,0.0336785487606344,0,12791.3,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,45,90,75.0,1,fear,10000.0,13272.8,3272.7999999999993,0.32728,0.19931035751835835,3,3,0.6666666666666666,0.10303223942470797,0,13272.8,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,50,60,65.0,1,fear,10000.0,11247.200000000004,1247.2000000000044,0.12472000000000039,0.021404616203322346,10,9,0.6666666666666666,0.03341556458510629,1,101.80000000000291,11145.400000000001,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,50,60,65.0,1,fear,10000.0,10048.600000000002,48.60000000000218,0.0048600000000003085,0.0031170013728558654,4,3,1.0,0.04571090078618523,1,7.200000000000728,10041.400000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,50,60,70.0,1,fear,10000.0,11919.6,1919.6000000000004,0.19196000000000013,0.03214752527027431,9,8,0.625,0.04485826766188253,1,1.3999999999996362,11918.2,2026-07-31,万三，单边最低5元；100股整数手
